column	path
2A30	"M1018.4,234.6c0,26.2,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C985.1,234.6,1001.5,234.6,1018.4,234.6z"
2A31	"M958.4,0.7c0,26,0,51.7,0,77.7c-16.7,0-33.1,0-49.8,0c0-25.9,0-51.6,0-77.7C925.1,0.7,941.4,0.7,958.4,0.7z"
2A32	"M958.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.3,0-78.8c16.4,0,32.8,0,49.6,0C958.3,260.7,958.3,286.8,958.3,313.4z"
2A33	"M898.3,78.4c-17.3,0-34.2,0-51.6,0c0-25.9,0-51.7,0-77.8c17.1,0,34.2,0,51.6,0C898.3,26.4,898.3,52.1,898.3,78.4z"
2A34	"M898.3,313.4c-17.3,0-34.2,0-51.6,0c0-26.2,0-52.4,0-78.8c17.1,0,34.2,0,51.6,0C898.3,260.8,898.3,286.8,898.3,313.4z"
2A35	"M836.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.8,0-51.7,0-77.8c16.4,0,32.8,0,49.6,0C836.3,26.4,836.3,52.1,836.3,78.4z"
2A36	"M836.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.4,0,32.8,0,49.6,0C836.3,260.8,836.3,286.8,836.3,313.4z"
2A37	"M776.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.9,0-51.7,0-77.8c16.5,0,32.8,0,49.6,0C776.3,26.4,776.3,52.1,776.3,78.4z"
2A38	"M726.6,234.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.3,0,78.8c-16.4,0-32.8,0-49.6,0C726.6,287.2,726.6,261.1,726.6,234.5z"
2A39	"M666.6,0.5c16.6,0,32.9,0,49.6,0c0,25.8,0,51.7,0,77.8c-16.4,0-32.8,0-49.6,0C666.6,52.5,666.6,26.8,666.6,0.5z"
2A4	"M1804.4,234.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C1771.1,234.6,1787.5,234.6,1804.4,234.6z"
2A40	"M666.7,234.6c16.5,0,32.9,0,49.6,0c0,26.3,0,52.3,0,78.7c-16.5,0-32.8,0-49.6,0C666.7,287.2,666.7,261,666.7,234.6z"
2A41	"M604.6,0.5c17.3,0,34.2,0,51.6,0c0,25.9,0,51.7,0,77.8c-17.1,0-34.2,0-51.6,0C604.6,52.5,604.6,26.8,604.6,0.5z"
2A42	"M656.3,313.4c-17.3,0-34.2,0-51.6,0c0-26.2,0-52.4,0-78.9c17.1,0,34.2,0,51.6,0C656.3,260.8,656.3,286.8,656.3,313.4z"
2A43	"M544.5,78.3c0-25.9,0-51.5,0-77.6c16.5,0,33,0,49.8,0c0,25.8,0,51.5,0,77.6C577.8,78.3,561.4,78.3,544.5,78.3z"
2A44	"M544.6,234.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C544.6,287.2,544.6,261.1,544.6,234.5z"
2A45	"M484.6,0.5c16.6,0,32.9,0,49.6,0c0,25.9,0,51.7,0,77.8c-16.5,0-32.9,0-49.6,0C484.6,52.5,484.6,26.8,484.6,0.5z"
2A46	"M534.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.3,0-78.8c16.4,0,32.8,0,49.6,0C534.3,260.7,534.3,286.8,534.3,313.4z"
2A47	"M424.6,0.5c16.6,0,32.9,0,49.6,0c0,25.9,0,51.7,0,77.8c-16.5,0-32.9,0-49.6,0C424.6,52.5,424.6,26.8,424.6,0.5z"
2A48	"M474.4,234.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C441.1,234.6,457.5,234.6,474.4,234.6z"
2A5	"M1694.6,0.5c16.6,0,32.9,0,49.6,0c0,25.9,0,51.7,0,77.8c-16.5,0-32.9,0-49.6,0C1694.6,52.5,1694.6,26.8,1694.6,0.5z"
2A50	"M362.5,313.3c0-26.3,0-52.2,0-78.6c17.2,0,34.4,0,51.8,0c0,26.1,0,52.2,0,78.6C397.2,313.3,380.1,313.3,362.5,313.3z"
2A51	"M414.3,78.4c-17.3,0-34.2,0-51.6,0c0-25.9,0-51.7,0-77.8c17.1,0,34.2,0,51.6,0C414.3,26.4,414.3,52.1,414.3,78.4z"
2A52	"M352.4,234.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C319.1,234.6,335.5,234.6,352.4,234.6z"
2A53	"M352.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.9,0-51.7,0-77.8c16.5,0,32.9,0,49.6,0C352.3,26.4,352.3,52.2,352.3,78.4z"
2A54	"M242.6,234.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.3,0,78.8c-16.4,0-32.8,0-49.6,0C242.6,287.2,242.6,261.1,242.6,234.5z"
2A55	"M292.4,0.6c0,25.9,0,51.5,0,77.6c-16.5,0-33,0-49.8,0c0-25.8,0-51.5,0-77.6C259.1,0.6,275.5,0.6,292.4,0.6z"
2A56	"M232.4,234.6c0,26.3,0,52.3,0,78.6c-16.6,0-33.1,0-49.9,0c0-26.2,0-52.2,0-78.6C199.1,234.6,215.5,234.6,232.4,234.6z"
2A57	"M182.5,78.3c0-26,0-51.6,0-77.6c16.5,0,32.9,0,49.7,0c0,25.6,0,51.5,0,77.6C215.8,78.3,199.4,78.3,182.5,78.3z"
2A58	"M172.4,234.6c0,26.3,0,52.2,0,78.6c-17.2,0-34.4,0-51.8,0c0-26.1,0-52.2,0-78.6C137.8,234.6,154.8,234.6,172.4,234.6z"
2A59	"M172.3,78.4c-17.3,0-34.2,0-51.6,0c0-25.9,0-51.7,0-77.8c17.1,0,34.2,0,51.6,0C172.3,26.4,172.3,52.2,172.3,78.4z"
2A6	"M1694.6,234.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C1694.6,287.2,1694.6,261.1,1694.6,234.5z"
2A60	"M60.6,234.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C60.6,287.2,60.6,261.1,60.6,234.5z"
2A61	"M60.5,78.3c0-25.9,0-51.5,0-77.6c16.5,0,33,0,49.8,0c0,25.8,0,51.5,0,77.6C93.8,78.3,77.4,78.3,60.5,78.3z"
2A62	"M50.4,234.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C17.1,234.6,33.5,234.6,50.4,234.6z"
2A63	"M50.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.9,0-51.7,0-77.8c16.5,0,32.9,0,49.6,0C50.3,26.4,50.3,52.1,50.3,78.4z"
2A7	"M1684.4,0.6c0,25.9,0,51.5,0,77.6c-16.5,0-33,0-49.8,0c0-25.8,0-51.5,0-77.6C1651.1,0.6,1667.5,0.6,1684.4,0.6z"
2A8	"M1684.4,234.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C1651.1,234.6,1667.5,234.6,1684.4,234.6z"
2A9	"M1624.3,78.4c-17.3,0-34.2,0-51.6,0c0-25.9,0-51.7,0-77.8c17.1,0,34.2,0,51.6,0C1624.3,26.4,1624.3,52.2,1624.3,78.4z"
2B1	"M1814.5,401.3c0-26.3,0-52.2,0-78.6c17.2,0,34.4,0,51.8,0c0,26.1,0,52.2,0,78.6C1849.2,401.3,1832.1,401.3,1814.5,401.3z"
2B11	"M1562.4,322.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C1529.1,322.6,1545.5,322.6,1562.4,322.6z"
2B13	"M1502.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1502.3,348.8,1502.3,374.8,1502.3,401.4z"
2B15	"M1442.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1442.3,348.8,1442.3,374.8,1442.3,401.4z"
2B17	"M1382.3,401.4c-17.3,0-34.4,0-51.7,0c0-26.3,0-52.4,0-78.7c17.2,0,34.3,0,51.7,0C1382.3,348.7,1382.3,374.7,1382.3,401.4z"
2B19	"M1320.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1320.3,348.8,1320.3,374.8,1320.3,401.4z"
2B21	"M1260.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1260.3,348.8,1260.3,374.8,1260.3,401.4z"
2B23	"M1200.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.3,0-78.8c16.4,0,32.8,0,49.6,0C1200.3,348.7,1200.3,374.8,1200.3,401.4z"
2B25	"M1088.5,401.3c0-26.3,0-52.2,0-78.6c17.2,0,34.4,0,51.8,0c0,26.1,0,52.2,0,78.6C1123.2,401.3,1106.1,401.3,1088.5,401.3z"
2B27	"M1028.6,322.5c16.7,0,33,0,49.7,0c0,26.2,0,52.3,0,78.7c-16.3,0-32.9,0-49.7,0C1028.6,375.1,1028.6,349,1028.6,322.5z"
2B29	"M968.5,401.3c0-26.3,0-52.2,0-78.6c16.5,0,33,0,49.8,0c0,26.1,0,52.2,0,78.6C1001.8,401.3,985.5,401.3,968.5,401.3z"
2B3	"M1804.3,401.4c-16.7,0-32.9,0-49.6,0c0-26.3,0-52.4,0-78.9c16.5,0,32.9,0,49.6,0C1804.3,348.8,1804.3,374.9,1804.3,401.4z"
2B31	"M958.4,322.6c0,26.3,0,52.2,0,78.6c-16.5,0-33,0-49.8,0c0-26.1,0-52.2,0-78.6C925.1,322.6,941.5,322.6,958.4,322.6z"
2B33	"M898.3,401.4c-17.3,0-34.3,0-51.7,0c0-26.3,0-52.4,0-78.7c17.2,0,34.2,0,51.7,0C898.3,348.7,898.3,374.7,898.3,401.4z"
2B35	"M836.2,401.4c-16.7,0-33,0-49.6,0c0-26.3,0-52.3,0-78.7c16.4,0,32.8,0,49.6,0C836.2,348.9,836.2,375.2,836.2,401.4z"
2B37	"M726.6,322.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.4,0-32.8,0-49.6,0C726.6,375.2,726.6,349.1,726.6,322.5z"
2B39	"M666.5,401.3c0-26.3,0-52.2,0-78.6c16.5,0,33,0,49.8,0c0,26.1,0,52.2,0,78.6 C699.8,401.3,683.4,401.3,666.5,401.3z"
2B41	"M656.5,322.6c0,26.4,0,52.4,0,78.7c-17.2,0-34.3,0-51.8,0c0-26.1,0-52.2,0-78.7C621.9,322.6,638.9,322.6,656.5,322.6z"
2B43	"M544.5,401.3c0-26.3,0-52.3,0-78.6c16.6,0,33.1,0,49.9,0c0,26.2,0,52.2,0,78.6C577.8,401.3,561.4,401.3,544.5,401.3z"
2B45	"M534.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.3,0-78.8c16.4,0,32.8,0,49.6,0C534.3,348.7,534.3,374.8,534.3,401.4z"
2B47	"M424.5,401.3c0-26.4,0-52.3,0-78.7c16.5,0,32.9,0,49.8,0c0,26,0,52.2,0,78.7C457.7,401.3,441.4,401.3,424.5,401.3z"
2B49	"M414.4,322.6c0,26.3,0,52.2,0,78.6c-17.2,0-34.4,0-51.8,0c0-26.1,0-52.2,0-78.6C379.8,322.6,396.8,322.6,414.4,322.6z"
2B5	"M1694.6,322.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C1694.6,375.2,1694.6,349.1,1694.6,322.5z"
2B51	"M302.5,401.3c0-26.3,0-52.2,0-78.6c16.5,0,33,0,49.8,0c0,26.1,0,52.2,0,78.6C335.8,401.3,319.4,401.3,302.5,401.3z"
2B53	"M292.3,401.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.8,0,49.6,0C292.3,348.8,292.3,374.8,292.3,401.4z"
2B55	"M182.5,401.3c0-26.3,0-52.2,0-78.6c16.5,0,33.1,0,49.9,0c0,26.1,0,52.2,0,78.6C215.8,401.3,199.4,401.3,182.5,401.3z"
2B57	"M120.6,322.5c17.3,0,34.2,0,51.6,0c0,26.2,0,52.4,0,78.9c-17.1,0-34.2,0-51.6,0C120.6,375.2,120.6,349.1,120.6,322.5z"
2B59	"M60.6,322.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C60.6,375.2,60.6,349.1,60.6,322.5z"
2B61	"M0.5,401.3c0-26.3,0-52.2,0-78.6c16.5,0,33,0,49.8,0c0,26.1,0,52.2,0,78.6C33.8,401.3,17.5,401.3,0.5,401.3z"
2B7	"M1634.6,322.5c16.6,0,32.9,0,49.6,0c0,26.2,0,52.4,0,78.8c-16.5,0-32.9,0-49.6,0C1634.6,375.2,1634.6,349.1,1634.6,322.5z"
2B9	"M1624.3,401.4c-17.3,0-34.2,0-51.6,0c0-26.2,0-52.4,0-78.8c17.1,0,34.2,0,51.6,0C1624.3,348.8,1624.3,374.8,1624.3,401.4z"
